LeaseID,TenantID,UnitID,StartDate,EndDate,MonthlyRent,DepositAmount
L00000,T0499,U0379,2021-01-06,2022-02-28,1690,1521.0
L00001,T0014,U0352,2025-09-29,2026-08-07,1497,1347.3
L00002,T0622,U0089,2023-09-09,2024-08-19,2420,2178.0
L00003,T0668,U0294,2022-07-24,2024-01-28,1418,1276.2
L00004,T0288,U0340,2022-02-11,2023-08-17,1165,1048.5
L00005,T0477,U0244,2024-05-25,2026-03-13,798,718.2
L00006,T0230,U0432,2021-01-26,2022-11-15,1965,1768.5
L00007,T0922,U0191,2023-10-26,2025-02-16,857,771.3000000000001
L00008,T0419,U0317,2023-09-13,2024-05-31,1309,1178.1000000000001
L00009,T0156,U0105,2025-04-05,2025-12-27,1253,1127.7
L00010,T0549,U0362,2022-01-25,2023-03-05,1350,1215.0
L00011,T0440,U0309,2022-12-11,2023-06-24,1619,1457.1000000000001
L00012,T0096,U0381,2022-07-25,2024-01-13,926,833.4
L00013,T0996,U0232,2025-01-11,2025-12-19,1122,1009.8000000000001
L00014,T0410,U0264,2023-01-24,2024-12-17,1795,1615.5
L00015,T0950,U0343,2021-05-26,2022-11-06,942,847.8000000000001
L00016,T0288,U0036,2024-11-12,2026-08-17,1229,1106.1000000000001
L00017,T0253,U0304,2023-02-24,2024-08-31,2312,2080.8
L00018,T0195,U0040,2024-06-26,2025-03-24,1768,1591.2
L00019,T0597,U0016,2022-06-10,2023-06-05,2195,1975.5
L00020,T0833,U0343,2025-01-25,2026-05-20,1070,963.0
L00021,T0521,U0276,2021-01-13,2022-01-16,1351,1215.9
L00022,T0516,U0306,2023-06-22,2024-10-27,1388,1249.2
L00023,T0634,U0058,2022-01-19,2023-11-22,1433,1289.7
L00024,T0841,U0422,2022-07-10,2023-05-13,791,711.9
L00025,T0864,U0182,2023-06-06,2025-05-04,1745,1570.5
L00026,T0117,U0040,2024-11-23,2026-07-21,871,783.9
L00027,T0805,U0038,2021-01-19,2022-01-20,2327,2094.3
L00028,T0908,U0396,2022-07-29,2024-07-27,1915,1723.5
L00029,T0158,U0191,2025-02-23,2026-11-17,1800,1620.0
L00030,T0814,U0266,2023-01-21,2024-11-01,2004,1803.6000000000001
L00031,T0227,U0493,2023-10-01,2024-11-07,2087,1878.3
L00032,T0876,U0146,2022-02-23,2023-01-22,878,790.2
L00033,T0215,U0394,2024-09-22,2026-03-06,937,843.3000000000001
L00034,T0947,U0332,2022-02-23,2023-01-15,1858,1672.2
L00035,T0695,U0126,2025-06-24,2026-12-04,1576,1418.4
L00036,T0014,U0045,2025-08-26,2026-08-22,1601,1440.9
L00037,T0156,U0044,2021-05-02,2022-04-25,979,881.1
L00038,T0647,U0000,2022-03-08,2022-10-12,1742,1567.8
L00039,T0260,U0167,2021-02-13,2021-08-14,2318,2086.2000000000003
L00040,T0156,U0107,2024-09-02,2025-05-03,1439,1295.1000000000001
L00041,T0046,U0018,2022-01-16,2022-08-12,1070,963.0
L00042,T0323,U0331,2021-05-25,2022-11-27,1835,1651.5
L00043,T0843,U0071,2024-09-12,2026-08-15,2486,2237.4
L00044,T0684,U0455,2021-12-29,2022-10-01,2399,2159.1
L00045,T0129,U0444,2023-12-10,2025-08-22,1569,1412.1000000000001
L00046,T0410,U0108,2023-12-25,2025-01-10,2403,2162.7000000000003
L00047,T0094,U0267,2021-12-21,2023-08-03,1718,1546.2
L00048,T0626,U0444,2023-03-11,2023-09-27,920,828.0
L00049,T0754,U0239,2024-04-02,2025-01-08,1619,1457.1000000000001
L00050,T0931,U0416,2024-03-10,2024-10-21,1003,902.7
L00051,T0291,U0300,2023-04-06,2023-12-07,2426,2183.4
L00052,T0793,U0089,2024-02-26,2025-02-03,2048,1843.2
L00053,T0810,U0102,2022-02-02,2022-11-19,2160,1944.0
L00054,T0282,U0475,2023-05-30,2024-10-28,1137,1023.3000000000001
L00055,T0068,U0249,2022-04-08,2023-02-04,1893,1703.7
L00056,T0659,U0452,2025-11-10,2027-07-29,1074,966.6
L00057,T0010,U0007,2023-03-19,2024-07-01,2280,2052.0
L00058,T0253,U0152,2021-07-06,2023-02-17,1080,972.0
L00059,T0841,U0346,2025-10-10,2027-01-13,1685,1516.5
L00060,T0871,U0173,2023-01-02,2023-08-12,713,641.7
L00061,T0549,U0342,2024-04-28,2026-02-22,1442,1297.8
L00062,T0133,U0157,2024-11-12,2025-06-30,1368,1231.2
L00063,T0711,U0492,2022-03-05,2023-03-29,1199,1079.1000000000001
L00064,T0022,U0430,2023-05-08,2024-03-08,2369,2132.1
L00065,T0814,U0214,2024-07-31,2026-06-02,2114,1902.6000000000001
L00066,T0345,U0176,2021-08-25,2023-07-14,2272,2044.8
L00067,T0301,U0174,2024-05-02,2025-07-13,1264,1137.6000000000001
L00068,T0362,U0339,2024-08-03,2025-08-05,1229,1106.1000000000001
L00069,T0395,U0337,2023-02-10,2024-03-25,1191,1071.9
L00070,T0217,U0145,2023-01-28,2024-01-31,2273,2045.7
L00071,T0140,U0449,2021-05-16,2022-12-31,2422,2179.8
L00072,T0615,U0323,2023-03-03,2023-09-08,2108,1897.2
L00073,T0957,U0477,2025-12-12,2026-10-01,1919,1727.1000000000001
