TransactionID,LeaseID,TenantID,UnitID,DueDate,PaidDate,AmountDue,AmountPaid
TX00000_202102,L00000,T0499,U0379,2021-02-01,2021-02-02,1690,1665
TX00000_202103,L00000,T0499,U0379,2021-03-01,2021-03-01,1690,1690
TX00000_202104,L00000,T0499,U0379,2021-04-01,2021-04-04,1690,1690
TX00000_202105,L00000,T0499,U0379,2021-05-01,2021-05-01,1690,1640
TX00000_202106,L00000,T0499,U0379,2021-06-01,2021-06-04,1690,1640
TX00000_202107,L00000,T0499,U0379,2021-07-01,2021-07-04,1690,1590
TX00000_202108,L00000,T0499,U0379,2021-08-01,2021-08-01,1690,1690
TX00000_202109,L00000,T0499,U0379,2021-09-01,2021-09-01,1690,1690
TX00000_202110,L00000,T0499,U0379,2021-10-01,2021-10-02,1690,1690
TX00000_202111,L00000,T0499,U0379,2021-11-01,2021-11-02,1690,1690
TX00000_202112,L00000,T0499,U0379,2021-12-01,2021-12-11,1690,1690
TX00000_202201,L00000,T0499,U0379,2022-01-01,2022-01-01,1690,1665
TX00000_202202,L00000,T0499,U0379,2022-02-01,2022-02-04,1690,1690
TX00001_202510,L00001,T0014,U0352,2025-10-01,2025-10-01,1497,1497
TX00001_202511,L00001,T0014,U0352,2025-11-01,2025-11-01,1497,1497
TX00001_202512,L00001,T0014,U0352,2025-12-01,2025-12-02,1497,1497
TX00001_202601,L00001,T0014,U0352,2026-01-01,2026-01-01,1497,1497
TX00001_202602,L00001,T0014,U0352,2026-02-01,2026-02-11,1497,1397
TX00001_202603,L00001,T0014,U0352,2026-03-01,2026-03-02,1497,1497
TX00001_202604,L00001,T0014,U0352,2026-04-01,2026-04-01,1497,1497
TX00001_202605,L00001,T0014,U0352,2026-05-01,2026-05-02,1497,1497
TX00001_202606,L00001,T0014,U0352,2026-06-01,2026-06-02,1497,1497
TX00001_202607,L00001,T0014,U0352,2026-07-01,2026-07-01,1497,1497
TX00001_202608,L00001,T0014,U0352,2026-08-01,2026-08-01,1497,1497
TX00002_202310,L00002,T0622,U0089,2023-10-01,2023-10-02,2420,2420
TX00002_202311,L00002,T0622,U0089,2023-11-01,2023-11-02,2420,2420
TX00002_202312,L00002,T0622,U0089,2023-12-01,2023-12-01,2420,2420
TX00002_202401,L00002,T0622,U0089,2024-01-01,2024-01-02,2420,2420
TX00002_202402,L00002,T0622,U0089,2024-02-01,2024-02-02,2420,2395
TX00002_202403,L00002,T0622,U0089,2024-03-01,2024-03-11,2420,2320
TX00002_202404,L00002,T0622,U0089,2024-04-01,2024-04-01,2420,2320
TX00002_202405,L00002,T0622,U0089,2024-05-01,2024-05-02,2420,2420
TX00002_202406,L00002,T0622,U0089,2024-06-01,2024-06-01,2420,2370
TX00002_202407,L00002,T0622,U0089,2024-07-01,2024-07-01,2420,2370
